timesteps_total,done,info,episode_reward_mean,episode_len_mean,episodes_total,mean_accuracy,mean_validation_accuracy,mean_loss,neg_mean_loss,experiment_id,training_iteration,timesteps_this_iter,time_this_iter_s,time_total_s,pid,date,timestamp,hostname,node_ip,config
23409,,"{'weights_norm': 516.2862548828125, 'time_elapsed_this_iter': 18.828953981399536, 'grad_norm': 7.149598598480225, 'episodes_so_far': 1024L, 'time_elapsed': 18.839287042617798, 'update_ratio': 0.12627460062503815, 'timesteps_so_far': 23409L, 'episodes_this_iter': 1024L, 'timesteps_this_iter': 23409L}",55.383301734924316,31.75,,,,,,a5c2a9cf8d364fe887a8c5b4a6038fbc,1,23409,18.830143928527832,18.830143928527832,10546,2018-04-01_21-16-50,1522617410,ray-vm-4,10.0.0.9,"{'noise_size': 250000L, 'episodes_per_batch': 1000L, 'timesteps_per_batch': 10000L, 'num_workers': 10L, 'eval_prob': 0.003, 'noise_stdev': 0.02, 'env_config': {}, 'observation_filter': u'MeanStdFilter', 'env': 'RoboschoolHumanoid-v1', 'l2_coeff': 0.005, 'stepsize': 0.01, 'return_proc_mode': u'centered_rank'}"
47407,,"{'weights_norm': 522.4021606445312, 'time_elapsed_this_iter': 8.529165029525757, 'grad_norm': 6.815706253051758, 'episodes_so_far': 2024L, 'time_elapsed': 27.38755702972412, 'update_ratio': 0.08902975916862488, 'timesteps_so_far': 47407L, 'episodes_this_iter': 1000L, 'timesteps_this_iter': 23998L}",nan,nan,,,,,,a5c2a9cf8d364fe887a8c5b4a6038fbc,2,23998,8.531370878219604,27.361514806747437,10546,2018-04-01_21-16-59,1522617419,ray-vm-4,10.0.0.9,"{'noise_size': 250000L, 'episodes_per_batch': 1000L, 'timesteps_per_batch': 10000L, 'num_workers': 10L, 'eval_prob': 0.003, 'noise_stdev': 0.02, 'env_config': {}, 'observation_filter': u'MeanStdFilter', 'env': 'RoboschoolHumanoid-v1', 'l2_coeff': 0.005, 'stepsize': 0.01, 'return_proc_mode': u'centered_rank'}"
75090,,"{'weights_norm': 529.3031005859375, 'time_elapsed_this_iter': 9.7988121509552, 'grad_norm': 6.474979400634766, 'episodes_so_far': 3068L, 'time_elapsed': 37.20310306549072, 'update_ratio': 0.07230442017316818, 'timesteps_so_far': 75090L, 'episodes_this_iter': 1044L, 'timesteps_this_iter': 27683L}",30.670207977294922,24.0,,,,,,a5c2a9cf8d364fe887a8c5b4a6038fbc,3,27683,9.8000168800354,37.16153168678284,10546,2018-04-01_21-17-09,1522617429,ray-vm-4,10.0.0.9,"{'noise_size': 250000L, 'episodes_per_batch': 1000L, 'timesteps_per_batch': 10000L, 'num_workers': 10L, 'eval_prob': 0.003, 'noise_stdev': 0.02, 'env_config': {}, 'observation_filter': u'MeanStdFilter', 'env': 'RoboschoolHumanoid-v1', 'l2_coeff': 0.005, 'stepsize': 0.01, 'return_proc_mode': u'centered_rank'}"
102714,,"{'weights_norm': 536.6392822265625, 'time_elapsed_this_iter': 9.425326108932495, 'grad_norm': 6.3925580978393555, 'episodes_so_far': 4080L, 'time_elapsed': 46.6414361000061, 'update_ratio': 0.06232330575585365, 'timesteps_so_far': 102714L, 'episodes_this_iter': 1012L, 'timesteps_this_iter': 27624L}",32.839290618896484,26.0,,,,,,a5c2a9cf8d364fe887a8c5b4a6038fbc,4,27624,9.42648696899414,46.58801865577698,10546,2018-04-01_21-17-18,1522617438,ray-vm-4,10.0.0.9,"{'noise_size': 250000L, 'episodes_per_batch': 1000L, 'timesteps_per_batch': 10000L, 'num_workers': 10L, 'eval_prob': 0.003, 'noise_stdev': 0.02, 'env_config': {}, 'observation_filter': u'MeanStdFilter', 'env': 'RoboschoolHumanoid-v1', 'l2_coeff': 0.005, 'stepsize': 0.01, 'return_proc_mode': u'centered_rank'}"
132092,,"{'weights_norm': 543.7666015625, 'time_elapsed_this_iter': 9.92884612083435, 'grad_norm': 6.812687397003174, 'episodes_so_far': 5094L, 'time_elapsed': 56.58756709098816, 'update_ratio': 0.05549876391887665, 'timesteps_so_far': 132092L, 'episodes_this_iter': 1014L, 'timesteps_this_iter': 29378L}",51.77089309692383,42.0,,,,,,a5c2a9cf8d364fe887a8c5b4a6038fbc,5,29378,9.930245876312256,56.51826453208923,10546,2018-04-01_21-17-28,1522617448,ray-vm-4,10.0.0.9,"{'noise_size': 250000L, 'episodes_per_batch': 1000L, 'timesteps_per_batch': 10000L, 'num_workers': 10L, 'eval_prob': 0.003, 'noise_stdev': 0.02, 'env_config': {}, 'observation_filter': u'MeanStdFilter', 'env': 'RoboschoolHumanoid-v1', 'l2_coeff': 0.005, 'stepsize': 0.01, 'return_proc_mode': u'centered_rank'}"
161678,,"{'weights_norm': 550.7703247070312, 'time_elapsed_this_iter': 10.471907138824463, 'grad_norm': 6.76920747756958, 'episodes_so_far': 6106L, 'time_elapsed': 67.07337808609009, 'update_ratio': 0.050493694841861725, 'timesteps_so_far': 161678L, 'episodes_this_iter': 1012L, 'timesteps_this_iter': 29586L}",nan,nan,,,,,,a5c2a9cf8d364fe887a8c5b4a6038fbc,6,29586,10.473175048828125,66.99143958091736,10546,2018-04-01_21-17-38,1522617458,ray-vm-4,10.0.0.9,"{'noise_size': 250000L, 'episodes_per_batch': 1000L, 'timesteps_per_batch': 10000L, 'num_workers': 10L, 'eval_prob': 0.003, 'noise_stdev': 0.02, 'env_config': {}, 'observation_filter': u'MeanStdFilter', 'env': 'RoboschoolHumanoid-v1', 'l2_coeff': 0.005, 'stepsize': 0.01, 'return_proc_mode': u'centered_rank'}"
192959,,"{'weights_norm': 557.6483154296875, 'time_elapsed_this_iter': 11.18216609954834, 'grad_norm': 6.934327125549316, 'episodes_so_far': 7128L, 'time_elapsed': 78.2693920135498, 'update_ratio': 0.04684581980109215, 'timesteps_so_far': 192959L, 'episodes_this_iter': 1022L, 'timesteps_this_iter': 31281L}",55.006948471069336,47.5,,,,,,a5c2a9cf8d364fe887a8c5b4a6038fbc,7,31281,11.183379888534546,78.1748194694519,10546,2018-04-01_21-17-50,1522617470,ray-vm-4,10.0.0.9,"{'noise_size': 250000L, 'episodes_per_batch': 1000L, 'timesteps_per_batch': 10000L, 'num_workers': 10L, 'eval_prob': 0.003, 'noise_stdev': 0.02, 'env_config': {}, 'observation_filter': u'MeanStdFilter', 'env': 'RoboschoolHumanoid-v1', 'l2_coeff': 0.005, 'stepsize': 0.01, 'return_proc_mode': u'centered_rank'}"
224694,,"{'weights_norm': 564.2138061523438, 'time_elapsed_this_iter': 10.434903144836426, 'grad_norm': 6.92566442489624, 'episodes_so_far': 8142L, 'time_elapsed': 88.7191710472107, 'update_ratio': 0.0437617264688015, 'timesteps_so_far': 224694L, 'episodes_this_iter': 1014L, 'timesteps_this_iter': 31735L}",nan,nan,,,,,,a5c2a9cf8d364fe887a8c5b4a6038fbc,8,31735,10.43627405166626,88.61109352111816,10546,2018-04-01_21-18-00,1522617480,ray-vm-4,10.0.0.9,"{'noise_size': 250000L, 'episodes_per_batch': 1000L, 'timesteps_per_batch': 10000L, 'num_workers': 10L, 'eval_prob': 0.003, 'noise_stdev': 0.02, 'env_config': {}, 'observation_filter': u'MeanStdFilter', 'env': 'RoboschoolHumanoid-v1', 'l2_coeff': 0.005, 'stepsize': 0.01, 'return_proc_mode': u'centered_rank'}"
257813,,"{'weights_norm': 570.5142822265625, 'time_elapsed_this_iter': 11.538318872451782, 'grad_norm': 6.626885890960693, 'episodes_so_far': 9168L, 'time_elapsed': 100.26832795143127, 'update_ratio': 0.04117768630385399, 'timesteps_so_far': 257813L, 'episodes_this_iter': 1026L, 'timesteps_this_iter': 33119L}",50.03011258443197,40.333333333333336,,,,,,a5c2a9cf8d364fe887a8c5b4a6038fbc,9,33119,11.539834976196289,100.15092849731445,10546,2018-04-01_21-18-12,1522617492,ray-vm-4,10.0.0.9,"{'noise_size': 250000L, 'episodes_per_batch': 1000L, 'timesteps_per_batch': 10000L, 'num_workers': 10L, 'eval_prob': 0.003, 'noise_stdev': 0.02, 'env_config': {}, 'observation_filter': u'MeanStdFilter', 'env': 'RoboschoolHumanoid-v1', 'l2_coeff': 0.005, 'stepsize': 0.01, 'return_proc_mode': u'centered_rank'}"
291020,,"{'weights_norm': 576.4747924804688, 'time_elapsed_this_iter': 11.608808040618896, 'grad_norm': 6.216370582580566, 'episodes_so_far': 10184L, 'time_elapsed': 111.88893103599548, 'update_ratio': 0.03891576826572418, 'timesteps_so_far': 291020L, 'episodes_this_iter': 1016L, 'timesteps_this_iter': 33207L}",1.6046125888824463,18.0,,,,,,a5c2a9cf8d364fe887a8c5b4a6038fbc,10,33207,11.61000394821167,111.76093244552612,10546,2018-04-01_21-18-23,1522617503,ray-vm-4,10.0.0.9,"{'noise_size': 250000L, 'episodes_per_batch': 1000L, 'timesteps_per_batch': 10000L, 'num_workers': 10L, 'eval_prob': 0.003, 'noise_stdev': 0.02, 'env_config': {}, 'observation_filter': u'MeanStdFilter', 'env': 'RoboschoolHumanoid-v1', 'l2_coeff': 0.005, 'stepsize': 0.01, 'return_proc_mode': u'centered_rank'}"
